,Make,Model,Year,FuelType,EngineHP,EngineCylinders,Transmission,Drive,NumberOfDoors,MarketCategory,Size,Style,highwaympg,citympg,Popularity,MSRP
2015,Saab,9-3 Griffin,2012,premium unleaded (recommended),220,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,29,18,376,32395
2016,Hyundai,Tucson,2016,regular unleaded,164,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,26,21,1439,24100
2020,Infiniti,Q50,2017,premium unleaded (required),208,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,31,23,190,38400
2021,Dodge,Nitro,2011,regular unleaded,260,6,AUTOMATIC,four wheel drive,4,"Crossover,Performance",Midsize,4dr SUV,21,16,1851,27995
2022,Cadillac,CTS,2015,flex-fuel (unleaded/E85),321,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Luxury,Performance",Large,Sedan,26,18,1624,63770
2023,Aston Martin,Vanquish,2016,premium unleaded (required),568,12,AUTOMATIC,rear wheel drive,2,"Exotic,High-Performance",Midsize,Convertible,21,13,259,305650
2024,Kia,Forte,2015,regular unleaded,201,4,AUTOMATIC,front wheel drive,2,Performance,Compact,Coupe,30,22,1720,21590
2025,Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,22,17,1385,37670
2026,Audi,Q3,2015,premium unleaded (recommended),200,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,28,20,3105,34600
2029,Audi,100,1994,regular unleaded,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,21,16,3105,2000
2030,Aston Martin,V12 Vantage,2011,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,11,259,180535
2031,Ford,F-150,2017,flex-fuel (unleaded/E85),282,6,AUTOMATIC,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,25,18,5657,26540
2034,Oldsmobile,Aurora,2001,premium unleaded (required),250,8,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,23,15,26,34794
2035,Lincoln,MKS,2016,premium unleaded (recommended),365,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,24,16,61,46000
2037,Chrysler,200,2016,flex-fuel (unleaded/E85),295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18,1013,29905
2039,GMC,Sierra 1500,2016,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,22,17,549,31955
2043,Mercedes-Benz,C-Class,2015,premium unleaded (required),469,8,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,25,18,617,63900
2044,Cadillac,XTS,2015,premium unleaded (required),410,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,24,16,1624,62735
2045,Acura,Integra,2000,regular unleaded,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,2dr Hatchback,28,22,204,3130
2046,Dodge,Charger,2016,regular unleaded,370,8,AUTOMATIC,rear wheel drive,4,High-Performance,Large,Sedan,25,16,1851,33895
2048,Chevrolet,S-10,2002,flex-fuel (unleaded/E85),120,4,AUTOMATIC,rear wheel drive,2,Flex Fuel,Compact,Regular Cab Pickup,23,17,1385,15406
2049,GMC,Yukon Hybrid,2013,regular unleaded,332,8,AUTOMATIC,four wheel drive,4,"Luxury,Hybrid",Large,4dr SUV,23,20,549,56955
2050,Honda,HR-V,2016,regular unleaded,141,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,32,27,2202,21315
2051,Ford,Mustang,2017,premium unleaded (recommended),435,8,MANUAL,rear wheel drive,2,Performance,Midsize,Coupe,25,15,5657,32645
2053,Land Rover,Range Rover Evoque,2015,premium unleaded (recommended),240,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,30,21,258,44100
2056,Mitsubishi,Expo,1993,regular unleaded,136,4,MANUAL,four wheel drive,4,Hatchback,Compact,4dr Hatchback,22,17,436,2000
2059,Porsche,Cayman,2016,premium unleaded (required),340,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,26,19,1715,75200
2060,Honda,Accord Crosstour,2010,regular unleaded,271,6,AUTOMATIC,all wheel drive,4,"Crossover,Hatchback",Midsize,4dr Hatchback,25,17,2202,36220
2061,BMW,2 Series,2016,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,34,22,3916,40650
2063,Mercedes-Benz,SL-Class,2016,premium unleaded (required),329,6,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,27,20,617,85050
2064,Chevrolet,Avalanche,2011,flex-fuel (unleaded/E85),320,8,AUTOMATIC,four wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,42455
2065,Mercedes-Benz,C-Class,2016,premium unleaded (required),503,8,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,25,18,617,73250
2066,Maserati,Quattroporte,2016,premium unleaded (required),404,6,AUTOMATIC,all wheel drive,4,"Exotic,Luxury,High-Performance",Large,Sedan,23,16,238,107900
2067,Chevrolet,Tahoe Hybrid,2011,regular unleaded,332,8,AUTOMATIC,rear wheel drive,4,Hybrid,Large,4dr SUV,23,20,1385,51145
2068,Chevrolet,Avalanche,2012,flex-fuel (unleaded/E85),320,8,AUTOMATIC,rear wheel drive,4,"Crossover,Flex Fuel",Large,Crew Cab Pickup,21,15,1385,36800
2069,Toyota,Camry Hybrid,2017,regular unleaded,200,4,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,37,40,2031,27995
2070,Subaru,Impreza,2017,regular unleaded,152,4,AUTOMATIC,all wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,640,23295
2074,Kia,Cadenza,2016,regular unleaded,293,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,28,19,1720,35990
2076,Nissan,370Z,2015,premium unleaded (required),332,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,26,18,2009,37970
2078,Chevrolet,Tahoe,2017,flex-fuel (unleaded/E85),355,8,AUTOMATIC,four wheel drive,4,"Flex Fuel,Performance",Large,4dr SUV,22,16,1385,50215
2079,GMC,Sierra 1500 Hybrid,2012,regular unleaded,332,8,AUTOMATIC,rear wheel drive,4,Hybrid,Large,Crew Cab Pickup,23,20,549,46790
2080,GMC,Sierra 1500,2016,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,24,18,549,37070
2081,Nissan,Pathfinder,2015,regular unleaded,260,6,AUTOMATIC,front wheel drive,4,Crossover,Large,4dr SUV,27,20,2009,33140
2082,Pontiac,Solstice,2009,premium unleaded (recommended),260,4,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Compact,Convertible,28,19,210,29485
2083,Chevrolet,Corvette,2015,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,29,17,1385,68450
2084,Infiniti,G20,2002,regular unleaded,145,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,Sedan,23,20,190,22195
2085,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,28,19,204,43520
2086,Volkswagen,Jetta,2016,premium unleaded (recommended),210,4,MANUAL,front wheel drive,4,"Factory Tuner,Performance",Midsize,Sedan,33,23,873,26920
2087,Audi,A4,2015,premium unleaded (required),220,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,32,24,3105,42900
2088,Volvo,S60,2015,regular unleaded,250,5,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,29,20,870,35450
2089,Ford,F-150,2016,regular unleaded,325,6,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,26,19,5657,40365
2090,Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285,6,AUTOMATIC,rear wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,24,18,1385,33170
2093,Mazda,3,2017,regular unleaded,184,4,MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,586,22395
2094,Acura,RDX,2015,premium unleaded (recommended),273,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,204,40195
2097,Chevrolet,Camaro,2017,premium unleaded (recommended),275,4,MANUAL,rear wheel drive,2,Performance,Midsize,Convertible,30,20,1385,31905
2100,Infiniti,QX50,2015,premium unleaded (recommended),325,6,AUTOMATIC,rear wheel drive,4,"Crossover,Luxury,Performance",Midsize,4dr SUV,25,17,190,37200
2101,Honda,Pilot,2017,regular unleaded,280,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,19,2202,34030
2102,Audi,A4,2017,premium unleaded (recommended),190,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,37,27,3105,37850
2103,Subaru,Impreza WRX,2013,premium unleaded (required),265,4,MANUAL,all wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,25,19,640,28295
2106,Ferrari,California,2012,premium unleaded (required),453,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,19,13,2774,195840
2107,Bentley,Arnage,2007,premium unleaded (required),450,8,AUTOMATIC,rear wheel drive,4,"Exotic,Luxury,Performance",Large,Sedan,14,10,520,263990
2108,Ford,F-150,2016,flex-fuel (unleaded/E85),385,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,21,15,5657,35870
2109,Toyota,Sequoia,2016,flex-fuel (unleaded/E85),381,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,4dr SUV,17,13,2031,57340
2111,Saab,9000,1996,regular unleaded,200,4,MANUAL,front wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,25,18,376,2000
2113,Nissan,Titan,2014,regular unleaded,317,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,17,12,2009,39780
2114,Ford,F-150,2015,flex-fuel (unleaded/E85),282,6,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,23,17,5657,40050
2115,Mazda,Tribute,2011,regular unleaded,171,4,AUTOMATIC,front wheel drive,4,Crossover,Compact,4dr SUV,28,21,586,25700
2116,Ferrari,F430,2008,premium unleaded (required),483,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Convertible,16,11,2774,217310
2120,GMC,Yukon,2015,flex-fuel (unleaded/E85),355,8,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,4dr SUV,23,16,549,47740
2121,Chevrolet,Corvette,2016,premium unleaded (recommended),460,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,29,17,1385,68855
2122,Buick,Lucerne,2010,flex-fuel (unleaded/E85),227,6,AUTOMATIC,front wheel drive,4,Flex Fuel,Large,Sedan,26,17,155,33230
2126,Toyota,Avalon,2015,regular unleaded,268,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,31,21,2031,39980
2127,Lexus,LX 470,2006,regular unleaded,275,8,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,15,12,454,67395
2129,Hyundai,Santa Fe Sport,2017,regular unleaded,190,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,21,1439,25350
2132,Chevrolet,Traverse,2015,regular unleaded,281,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,1385,33795
2133,Hyundai,Accent,2015,regular unleaded,137,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,26,1439,17495
2136,Nissan,Murano,2016,regular unleaded,260,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,21,2009,31340
2138,Lincoln,MKX,2016,regular unleaded,303,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,17,61,40755
2139,Honda,Fit,2015,regular unleaded,130,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,29,2202,17560
2140,Nissan,Murano,2017,regular unleaded,260,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,21,2009,38730
2142,Honda,Civic,2017,regular unleaded,174,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,30,2202,19700
2143,Bentley,Continental GT,2014,premium unleaded (required),500,8,AUTOMATIC,all wheel drive,2,"Exotic,Luxury,High-Performance",Midsize,Coupe,24,15,520,177500
2144,Infiniti,EX,2013,premium unleaded (recommended),325,6,AUTOMATIC,rear wheel drive,4,"Crossover,Luxury,Performance",Midsize,4dr SUV,25,17,190,39250
2149,Cadillac,Escalade ESV,2015,flex-fuel (unleaded/E85),420,8,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury",Large,4dr SUV,20,14,1624,78570
2151,Dodge,Nitro,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Crossover,Midsize,4dr SUV,21,15,1851,26220
2152,Mazda,2,2014,regular unleaded,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14720
2154,Volkswagen,Beetle,2017,regular unleaded,170,4,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,21890
2155,Lexus,GX 460,2017,premium unleaded (required),301,8,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,18,15,454,62980
2157,Volkswagen,CC,2017,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,31,22,873,37820
2158,Suzuki,SX4,2011,regular unleaded,148,4,AUTOMATIC,front wheel drive,4,"Crossover,Hatchback",Compact,4dr Hatchback,30,23,481,17799
2161,Bentley,Continental GTC,2013,premium unleaded (required),500,8,AUTOMATIC,all wheel drive,2,"Exotic,Luxury,High-Performance",Midsize,Convertible,24,14,520,191400
2162,Kia,Sorento,2017,regular unleaded,185,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,25,21,1720,28500
2166,Mercedes-Benz,GLE-Class,2016,premium unleaded (required),577,8,AUTOMATIC,all wheel drive,4,"Crossover,Factory Tuner,Luxury,High-Performance",Midsize,4dr SUV,17,13,617,107100
2167,Acura,RL,2011,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,204,51350
2169,Acura,TL,2013,premium unleaded (recommended),280,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,29,20,204,37405
2170,Volkswagen,Beetle,2015,regular unleaded,170,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,24,873,23085
2172,Chevrolet,Malibu Maxx,2006,regular unleaded,201,6,AUTOMATIC,front wheel drive,4,Hatchback,Midsize,4dr Hatchback,28,20,1385,19565
2173,Ferrari,360,2002,premium unleaded (required),400,8,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,15,10,2774,140615
2174,Toyota,Highlander,2016,regular unleaded,270,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,18,2031,35855
2176,Cadillac,SRX,2016,regular unleaded,308,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,17,1624,46030
2177,Aston Martin,V12 Vantage,2012,premium unleaded (required),510,12,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,11,259,180535
2178,Subaru,Baja,2005,premium unleaded (required),210,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,Crew Cab Pickup,21,16,640,27245
2179,Dodge,Shadow,1993,regular unleaded,93,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,29,23,1851,2000
2180,Nissan,350Z,2008,regular unleaded,306,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,25,18,2009,33340
2182,Subaru,B9 Tribeca,2006,premium unleaded (required),250,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,21,16,640,32395
2183,Hyundai,Sonata,2015,regular unleaded,245,4,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,31,21,1439,33525
2185,Ford,F-150,2016,flex-fuel (unleaded/E85),282,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,23,17,5657,31485
2186,Mercedes-Benz,GL-Class,2014,premium unleaded (required),362,8,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Large,4dr SUV,19,14,617,64550
2189,Honda,Insight,2014,regular unleaded,98,4,AUTOMATIC,front wheel drive,4,"Hatchback,Hybrid",Compact,4dr Hatchback,44,41,2202,22190
2190,Ford,Thunderbird,2003,premium unleaded (required),280,8,AUTOMATIC,rear wheel drive,2,Performance,Midsize,Convertible,22,16,5657,36815
2191,Lexus,RC 350,2015,premium unleaded (required),306,6,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Midsize,Coupe,28,19,454,42790
2195,Bentley,Continental,2001,premium unleaded (required),420,8,AUTOMATIC,rear wheel drive,2,"Exotic,Factory Tuner,Luxury,Performance",Large,Coupe,15,10,520,319900
2196,Lexus,RX 300,2002,regular unleaded,220,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,21,16,454,35705
2198,Volvo,XC70,2016,regular unleaded,240,4,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,Wagon,31,23,870,45675
2200,Buick,Regal,2016,premium unleaded (recommended),259,4,AUTOMATIC,all wheel drive,4,Performance,Midsize,Sedan,27,19,155,33990
2201,Plymouth,Laser,1994,regular unleaded,195,4,MANUAL,all wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,18,535,2000
2204,Chevrolet,Trax,2016,regular unleaded,138,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,31,24,1385,21800
2207,Acura,RL,2012,premium unleaded (required),300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,204,52350
2209,Acura,TLX,2015,premium unleaded (recommended),206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,35,24,204,35500
2210,Chevrolet,Corvette,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,29,17,1385,69145
2211,Toyota,Yaris,2017,regular unleaded,106,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,30,2031,17200
2212,Lexus,GS 430,2005,premium unleaded (required),300,8,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,22,16,454,47975
2213,Dodge,Journey,2016,regular unleaded,283,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,16,1851,30895
2214,Land Rover,Range Rover Sport,2015,flex-fuel (premium unleaded required/E85),340,6,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury,Performance",Midsize,4dr SUV,23,17,258,76875
2215,Toyota,Venza,2014,regular unleaded,268,6,AUTOMATIC,front wheel drive,4,"Crossover,Performance",Midsize,Wagon,26,19,2031,33630
2217,Honda,HR-V,2017,regular unleaded,141,4,MANUAL,front wheel drive,4,Crossover,Compact,4dr SUV,33,25,2202,21415
2219,Volkswagen,CC,2016,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,31,22,873,37820
2220,Lexus,IS F,2012,premium unleaded (required),416,8,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,23,16,454,61300
2225,Nissan,Maxima,2014,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,26,19,2009,31290
2227,Lexus,NX 300h,2017,regular unleaded,194,4,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Hybrid",Midsize,4dr SUV,30,33,454,39720
2229,Infiniti,Q70,2015,premium unleaded (required),420,8,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,24,16,190,62850
2230,GMC,Sierra 1500,2016,flex-fuel (unleaded/E85),285,6,AUTOMATIC,four wheel drive,2,Flex Fuel,Large,Regular Cab Pickup,22,17,549,38370
2231,Subaru,Outback,2016,regular unleaded,175,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,33,25,640,25295
2233,Mitsubishi,Eclipse,2011,regular unleaded,162,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,436,18999
2236,Honda,Civic del Sol,1995,regular unleaded,160,4,MANUAL,front wheel drive,2,"Factory Tuner,Performance",Compact,Coupe,27,23,2202,2033
2237,Chevrolet,Silverado 1500 Classic,2007,regular unleaded,310,8,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Extended Cab Pickup,18,13,1385,33425
2238,Toyota,Matrix,2011,regular unleaded,158,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,28,21,2031,19565
2239,Ferrari,458 Italia,2013,premium unleaded (required),562,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,17,13,2774,233509
2240,Hyundai,Sonata,2016,regular unleaded,245,4,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,32,23,1439,28925
2243,Volvo,240,1991,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19,870,2000
2244,Bentley,Continental GT,2015,flex-fuel (premium unleaded required/E85),567,12,AUTOMATIC,all wheel drive,2,"Exotic,Flex Fuel,Luxury,High-Performance",Midsize,Coupe,21,12,520,203500
2245,Pontiac,Torrent,2008,regular unleaded,185,6,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,17,210,25145
2247,Volkswagen,New Beetle,2008,regular unleaded,150,5,AUTOMATIC,front wheel drive,2,Hatchback,Compact,2dr Hatchback,29,20,873,20525
2248,BMW,4 Series Gran Coupe,2015,premium unleaded (required),240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22,3916,42300
2250,Ford,Mustang,2015,regular unleaded,300,6,MANUAL,rear wheel drive,2,Performance,Midsize,Coupe,28,17,5657,23800
2252,Infiniti,QX80,2016,premium unleaded (recommended),400,8,AUTOMATIC,four wheel drive,4,Luxury,Large,4dr SUV,19,13,190,66350
2253,Mazda,CX-7,2012,premium unleaded (recommended),244,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,18,586,26455
2254,Lexus,ES 300,2003,regular unleaded,210,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,27,18,454,31725
2256,Chevrolet,Colorado,2016,regular unleaded,200,4,AUTOMATIC,rear wheel drive,4,Diesel,Compact,Crew Cab Pickup,27,20,1385,27920
2257,Acura,RLX,2017,premium unleaded (recommended),310,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Midsize,Sedan,30,20,204,60450
2258,Honda,Pilot,2017,regular unleaded,280,6,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,19,2202,38055
2260,Volkswagen,GTI,2013,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,24,873,29895
2261,Chevrolet,Equinox,2015,regular unleaded,182,4,AUTOMATIC,front wheel drive,4,"Crossover,Flex Fuel",Compact,4dr SUV,32,22,1385,28170
2265,Bentley,Continental GT,2016,premium unleaded (required),626,12,AUTOMATIC,all wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Midsize,Coupe,21,12,520,239400
2266,Hyundai,Santa Fe,2017,regular unleaded,290,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,17,1439,40450
2267,Mercedes-Benz,SLS AMG GT,2014,premium unleaded (required),622,8,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Coupe,17,13,617,275000
2269,Subaru,Forester,2016,premium unleaded (required),250,4,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,23,640,33795
2271,Audi,100,1994,regular unleaded,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,22,17,3105,2000
2272,Ford,Explorer,2016,regular unleaded,365,6,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,22,16,5657,43500
2273,Ford,Transit Wagon,2016,flex-fuel (unleaded/E85),275,6,AUTOMATIC,rear wheel drive,3,"Flex Fuel,Diesel",Large,Passenger Van,19,14,5657,39580
2275,FIAT,500,2017,premium unleaded (recommended),160,4,MANUAL,front wheel drive,2,"Factory Tuner,Performance",Compact,Convertible,33,28,819,21490
2276,Cadillac,XLR-V,2007,premium unleaded (required),443,8,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,20,13,1624,97460
2277,Volkswagen,GLI,2012,premium unleaded (recommended),200,4,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,24,873,26895
2279,Hyundai,Santa Fe Sport,2016,regular unleaded,265,4,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,19,1439,31250
2280,Volvo,XC60,2015,regular unleaded,240,4,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,31,24,870,40250
2281,Bentley,Arnage,2009,premium unleaded (required),500,8,AUTOMATIC,rear wheel drive,4,"Exotic,Factory Tuner,Luxury,High-Performance",Large,Sedan,14,10,520,270990
2282,Lincoln,Zephyr,2006,regular unleaded,221,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,26,17,61,28995
2283,Volkswagen,Beetle Convertible,2015,premium unleaded (recommended),210,4,AUTOMATED_MANUAL,front wheel drive,2,Performance,Compact,Convertible,29,23,873,30995
2284,Nissan,370Z,2015,premium unleaded (required),332,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,26,18,2009,37070
2285,Volvo,240,1992,regular unleaded,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19,870,2000
2286,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,19,204,58400
2287,Chevrolet,Corvette,2016,premium unleaded (recommended),455,8,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,29,17,1385,59855
2288,Chevrolet,Corvette,2017,premium unleaded (required),650,8,MANUAL,rear wheel drive,2,"Factory Tuner,High-Performance",Compact,Coupe,22,15,1385,79450
2292,Cadillac,XTS,2015,regular unleaded,304,6,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Large,Sedan,28,18,1624,54670
2295,Ford,Explorer Sport Trac,2009,regular unleaded,210,6,AUTOMATIC,four wheel drive,4,Crossover,Compact,Crew Cab Pickup,19,13,5657,32360
2296,Lincoln,Navigator,2015,regular unleaded,365,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,4dr SUV,22,16,61,61480
2297,Lexus,GX 460,2017,premium unleaded (required),301,8,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,18,15,454,51280
2300,Lexus,GS 350,2017,premium unleaded (required),311,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,28,20,454,50695
2301,Volkswagen,Tiguan,2017,premium unleaded (recommended),200,4,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,24,20,873,32070
